ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,Sex,Age,AgeCategory,PrimaryOrMetastasis,SampleCollectionSite,ModelType,GrowthPattern,TissueOrigin
ACH-002654,JVE-015,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Female,66.0,Adult,Primary,Colon,Cell Line,Adherent,
ACH-002659,JVE-127,Bowel,Colorectal Adenocarcinoma,Mucinous Adenocarcinoma of the Colon and Rectum,MACR,Male,60.0,Adult,Primary,Colon,Cell Line,Adherent,
ACH-002660,JVE-187,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Female,60.0,Adult,Metastatic,liver,Cell Line,Adherent,
ACH-002662,JVE-207,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Male,67.0,Adult,Primary,Colon,Cell Line,Adherent,
ACH-002664,JVE-253,Bowel,Colorectal Adenocarcinoma,Mucinous Adenocarcinoma of the Colon and Rectum,MACR,Female,48.0,Adult,Metastatic,liver,Cell Line,Adherent,
ACH-002665,JVE-367,Bowel,Gastrointestinal Neuroendocrine Tumors,High-Grade Neuroendocrine Carcinoma of the Colon and Rectum,HGNEC,Female,61.0,Adult,,Colon,Cell Line,Suspension,
ACH-002667,JVE-528,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Female,57.0,Adult,,Colon,Cell Line,Adherent,
ACH-002668,KASUMI-3,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,57.0,Adult,,bone_marrow,Cell Line,Suspension,
ACH-002669,KP-363T,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD,Male,80.0,Adult,Primary,Colon,Cell Line,Adherent,
ACH-002672,MAPAC-HS-77,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,Male,64.0,Adult,Primary,pancreas,Cell Line,Adherent,
ACH-002675,SH-2,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML,Male,35.0,Adult,,bone,Cell Line,Suspension,
ACH-002676,TK-6,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1,Male,30.0,Adult,,pleural_effusion,Cell Line,Suspension,
ACH-002677,U-2946,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS,Male,52.0,Adult,Metastatic,pleural_effusion,Cell Line,Suspension,
ACH-002678,WILL-1,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS,Male,82.0,Adult,,bone_marrow,Cell Line,Suspension,
ACH-002680,170-MG-BA,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Female,74.0,Adult,Primary,central_nervous_system,Cell Line,Adherent,
ACH-002681,538-MG-BA,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",GB,Male,49.0,Adult,,central_nervous_system,Cell Line,Adherent,
ACH-002687,WM3772F,Eye,Ocular Melanoma,Uveal Melanoma,UM,Female,,Unknown,Metastatic,lung,Cell Line,Adherent,
ACH-002688,OS457,Bone,Osteosarcoma,Osteosarcoma,OS,Male,,Unknown,Primary,bone,Cell Line,Adherent,
ACH-002689,OS525,Bone,Osteosarcoma,Osteosarcoma,OS,Female,20.0,Adult,Metastatic,bone,Cell Line,Adherent,
ACH-002690,OS526,Bone,Osteosarcoma,Osteosarcoma,OS,Male,13.0,Pediatric,Primary,bone,Cell Line,Adherent,
